Sex_Code_Text,Ethnic_Code_Text,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,RecSupervisionLevelText,RawScore,DecileScore,ScoreText,Age
1,4,5,0,4,1,1,-2.08,4,1,56
1,4,5,0,4,1,1,-1.06,2,1,56
1,4,5,0,4,1,1,15.0,1,1,56
1,4,5,0,1,1,1,-2.84,2,1,56
1,4,5,0,1,1,1,-1.5,1,1,56
1,4,5,0,1,1,1,19.0,3,1,56
1,1,5,0,4,4,0,-1.2,8,0,56
1,1,5,0,4,4,0,0.18,8,0,56
1,1,5,0,4,4,0,13.0,1,1,56
0,1,5,0,3,2,2,-1.29,7,2,56
0,1,5,0,3,2,2,-0.53,6,2,56
0,1,5,0,3,2,2,11.0,1,1,56
0,1,5,0,4,1,1,-2.9,2,1,56
0,1,5,0,4,1,1,-1.55,2,1,56
0,1,5,0,4,1,1,16.0,2,1,56
1,5,5,0,4,3,3,-1.33,7,2,56
1,5,5,0,4,3,3,0.71,10,0,56
1,5,5,0,4,3,3,24.0,6,2,56
0,4,5,0,4,1,1,-3.01,1,1,56
0,4,5,0,4,1,1,-1.74,1,1,56
0,4,5,0,4,1,1,19.0,3,1,56
1,1,5,0,4,3,3,-1.44,7,2,56
1,1,5,0,4,3,3,0.38,9,0,56
1,1,5,0,4,3,3,20.0,3,1,56
1,8,5,0,1,1,1,-3.03,1,1,56
1,8,5,0,1,1,1,-1.21,2,1,56
1,8,5,0,1,1,1,16.0,2,1,56
1,4,5,0,4,1,1,-2.69,2,1,56
1,4,5,0,4,1,1,-1.31,2,1,56
1,4,5,0,4,1,1,13.0,1,1,56
1,1,5,0,4,3,3,-0.92,9,0,56
1,1,5,0,4,3,3,0.06,7,2,56
1,1,5,0,4,3,3,15.0,1,1,56
1,4,5,0,4,1,1,-3.15,1,1,56
1,4,5,0,4,1,1,-1.66,1,1,56
1,4,5,0,4,1,1,18.0,3,1,56
0,4,5,0,1,1,1,-3.14,1,1,56
0,4,5,0,1,1,1,-1.67,1,1,56
0,4,5,0,1,1,1,13.0,1,1,56
0,1,5,0,4,1,1,-2.33,3,1,56
0,1,5,0,4,1,1,-1.0,4,1,56
